btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
2N5001S;PNP;TO59;80;2;70-200;60M;30;undef
2N5002;NPN;TO59;80;2;30-90;60M;50;undef
2N5010;NPN;TO39;500;0.5;30-180;20M;2;undef
2N5011;NPN;TO39;600;0.5;30-180;20M;2;undef
2N5012;NPN;TO39;700;0.5;30-180;20M;2;undef
2N5013;NPN;TO39;800;0.5;30-180;20M;2;undef
2N5014;NPN;TO39;900;0.5;30-180;20M;2;undef
2N5015;NPN;TO39;1000;0.5;30-180;20M;2;undef
2N5015S;NPN;TO39;1000;0.5;30-180;20M;2;undef
2N5023;PNP;TO39;30;0.5;40-100;200M;1;undef
2N5023S;PNP;TO39;30;0.5;40-100;200M;1;undef
2N5038;NPN;TO3;90;20;20-100;50M;140;undef
2N5039;NPN;TO3;75;20;20-100;50M;140;undef
2N5050;NPN;TO66;125;2;25-100;10M;40;undef
2N5051;NPN;TO66;150;2;25-100;10M;40;undef
2N5052;NPN;TO66;200;2;25-100;10M;40;undef
2N5058;NPN;TO39;300;0.15;35-150;30M;1;undef
2N5067;NPN;TO3;40;5;20-80;4M;88;undef
2N5068;NPN;TO3;60;5;20-80;4M;88;undef
2N5069;NPN;TO3;80;5;20-80;4M;88;undef
2N5092;NPN;TO39;350;1;15-250;50M;2;undef
2N5095;NPN;TO39;400;1;15-250;50M;2;undef
2N5097;NPN;TO39;450;1;15-250;50M;2;undef
2N5097S;NPN;TO39;450;1;50-250;50M;2;undef
2N5099;NPN;TO39;550;1;15-250;50M;2;undef
2N5147;PNP;TO39;20;2;30-90;50M;1;undef
2N5148;NPN;TO39;80;2;30-90;50M;1;undef
2N5150;NPN;TO39;80;2;70/200;60M;1;undef
2N5151;PNP;TO39;80;5;30-90;60M;10;undef
2N5151A;PNP;TO39;80;5;30-150;60M;10;undef
2N5151S;PNP;TO39;80;5;30-90;60M;10;undef
2N5152;NPN;TO39;80;5;30-90;60M;10;undef
2N5152-SM;NPN;TO220SM;80;5;30-90;60M;10;undef
2N5152S;NPN;TO39;80;5;30-90;60M;10;undef
2N5153;PNP;TO39;80;5;70-200;60M;10;undef
2N5153-220M;PNP;TO220M;80;5;70-200;60M;10;undef
2N5153-SM;PNP;TO220SM;80;5;70-200;60M;10;undef
2N5153S;PNP;TO39;80;5;70-200;60M;10;undef
2N5154;NPN;TO39;80;5;70-200;60M;10;undef
2N5154-220M;NPN;TO220M;80;5;70-200;60M;10;undef
2N5154-SM;NPN;TO220SM;80;5;70-200;60M;10;undef
2N5154A;NPN;TO39;80;5;60-200;60M;10;undef
2N5154S;NPN;TO39;80;5;70-200;60M;10;undef
2N5157;NPN;TO3;500;3.5;30-90;2.8M;100;undef
2N5179;NPN;TO72;12;50m;25min;900M;1.1m;undef
2N5239;NPN;TO3;225;5;20-80;5M;100;undef
2N5240;NPN;TO3;300;5;20/80;2M;100;undef
2N5241;NPN;TO3;400;5;15-35;2.5M;125;undef
2N5252;NPN;TO39;300;1;40-120;30M;1;undef
2N5253;NPN;TO39;300;1;80-250;30M;1;undef
2N5301;NPN;TO3;40;30;15-60;2M;200;undef
2N5302;NPN;TO3;60;30;15-60;2M;200;undef
2N5303;NPN;TO3;80;30;15-60;2M;200;undef
2N5320;NPN;TO39;75;2;30-120;50M;10;undef
2N5321;NPN;TO39;50;2;40-250;50M;10;undef
2N5322;PNP;TO39;75;2;30-130;50M;10;undef
2N5323;PNP;TO39;50;2;40-250;50M;10;undef
2N5333;PNP;TO39;80;2;30-120;30M;1;undef
2N5334;NPN;TO39;60;3;30-150;40M;6;undef
2N5335;NPN;TO39;80;3;30-150;40M;6;undef
2N5336;NPN;TO39;80;5;30-120;30M;6;undef
2N5336X;NPN;TO39;80;5;30-120;30M;6;undef
2N5337;NPN;TO39;80;5;60-240;30M;6;undef
2N5337A-220M;NPN;TO220M;80;5;60-240;30M;6;undef
2N5337X;NPN;TO39;80;5;60-240;30M;6;undef
2N5338;NPN;TO39;100;5;30-120;30M;6;undef
2N5338X;NPN;TO39;100;5;30-120;30M;6;undef
2N5339;NPN;TO39;100;5;60-240;30M;6;undef
2N5339X;NPN;TO39;100;5;60-240;30M;6;undef
2N5344;PNP;TO66;250;1;25/150;60M;40;undef
2N5344A;PNP;TO66;250;1;25/180;60M;40;undef
2N5345;NPN;TO66;300;1;25/150;80M;40;undef
2N5345A;NPN;TO66;300;1;25/180;80M;40;undef
2N5357;NPN;TO3;60;20;500-5k;-;150;undef
2N5385;PNP;TO111;80;5;20/80;30M;-;undef
2N5404;PNP;TO39;80;5;20-60;40M;1;undef
2N5405;PNP;TO39;100;5;20-60;40M;1;undef
2N5406;PNP;TO39;80;5;40-120;40M;1;undef
2N5407;PNP;TO39;100;5;40-120;40M;1;undef
2N5408;PNP;TO111;80;5;20-60;40M;30;undef
2N5409;PNP;TO111;100;5;20-60;40M;30;undef
2N5410;PNP;TO111;80;5;40-120;40M;30;undef
